id,GPR
ARGDCpp,b2938
ALLPI,b4090
ALLK,b4084
ALLULPE,b4085
FACOAL100t2pp,b1805 or b1701
GPDDA3pp,b2239
GPDDA4pp,b2239
GPDDA2pp,b2239
FACOAL120t2pp,b1701 or b1805
FACOAL140t2pp,b1701 or b1805
HCYSMT2,b0261
ACGK,b3959
DHPTPE,b2303
NADPHQR2,b3028
NADPHQR3,b3028
NADPHQR4,b3028
GLBRAN2,b3432
ASR,b1064 and b3503
ECAtpp,b3792
O16AT,b2033
O16GALFT,b2034
O16AUNDtpp,b2037
O16AP1pp,b2027 and b2035
AGM4PCP,b1192
4PCP,b1192
4PCPpp,b2175
FALDH2,b0356
CBIAT,b1270
PPDOy,b0325
NTD12pp,b0480 or b4055
PPA2,b2502 or b2744
3NTD7pp,b4213 or b0383
3NTD4pp,b0383 or b4213 or b0383
3NTD2pp,b4213 or b0383
3NTD9pp,b4213 or b0383
23PDE7pp,b4213
GLCptspp,( b2415 and b1101 and b2416 and b2417 ) or ( b2417 and b1621 and b2415 and b2416 ) or ( b1817 and b2415 and b1819 and b1818 and b2416 )
HSTPT,b2021
THDPS,b0166
ACONMT,b1519
GNK,b3437 or b4268
HMBS,b3805
RMK,b3904
FHL,( b4079 and b2481 and b2488 and b2486 and b2482 and b2487 and b2489 and b2485 and b2483 and b2490 and b2484 ) or ( b4079 and b2719 and b2720 and b2723 and b2722 and b2724 and b2721 )
MEPCT,b2747
GLUDy,b1761 or ( b3213 and b3212 )
GLYCLTDy,b1033 or b3553
LYSDC,b0186 or b4131
DAAD,b1189
NTPP5,b1865 or b2781
NTD3,b2291 or b2744 or b2361
GLYOX,b0212
MTRPOX,b1059
AGM4PCPpp,b2175
GTPDPDP,b3779
RNDR2,( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 )
XAND,b2867 and b2866 and b2868
HACD3,b3846 or b2341
NNDMBRT,b1991
THRA2,b2551 or b0870
PPK,b2501
ABUTD,b1444
E4PD,b2927 or b1779
IG3PS,b2023 and b2025
DADK,b0474
DUTPDP,b3640 or b2251
NTP5,b4161
MTAN,b0159
DPR,b0425 or b3774
THRD_L,b3772 or b3117
NAMNPP,b0931
SELNPS,b1764
CRNCAR,b0036
ANHMK,b1640
DHFR,b1606 or b0048
PRAIi,b1262
TYRTA,b0928 or b4054 or b3770
SHKK,b3390 or b0388
SADH,b1745
GLUSy,b3213 and b3212
GUAPRT,b0125 or b0238
PDH,b0116 and b0115 and b0114
DMSOR2pp,b1872 and b1873
HYD3pp,( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 )
NO3R1pp,( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 )
AACPS5,b1094 and b2836
NTD8,b3399 or b2744 or b2291 or b2361
GALCTD,b3128
MLTG4,b0403
UDPGDC,b2255
PUNP4,b2407 or b4384
AMAOTr,b0774
NTD11pp,b0480 or b4055
DKGLCNR2x,b3553
ACGS,b2818
PDE1,b1489 or b3032
MCITD,b0334
GLCATr,b0459
ALAALAr,b0381 or b0092
ACACT1r,b2342 or b2224 or b3845
G2PPpp,b4055 or b0383
AGM3PApp,b2817 or b4169 or b2435 or b0867
SUCOAS,b0729 and b0728
NTP1,b0650 or b4161
GALKr,b0757
PANTS,b0133
YUMPS,b2165
DHQS,b3389
PGCD,b2913
ADSL1r,b1131
SERD_D,b2366
AICART,b4006
PFK,b3916 or b1723
PGM,b0755 or b3612
TPI,b3919
RPI,b2914 or b4090
PERD,b2320
PYDAMK,b2418
FADRx2,b2764
PDE4,b1489
AGM4PH,b1107
AM4PA,b0110
ATHRDHr,b1539
LSERDHr,b1539
DSERDHr,b1539
OBTFL,( b0902 and b0903 ) or ( b0903 and b0902 and b2579 ) or ( b0902 and b3114 )
G6PP,b3826 or b0822 or b2293
MMCD,b2919
GLNS,b3870
GTHS,b2947
UDPKAAT,b2253
ULA4NFT,b2255
UPLA4FNT,b2254
UPLA4FNF,b2256
ULA4Ntppi,b2258 and b4544
HEPT1,b3621
ALR2,b1781 or b3012 or b0207 or b3001
AMALT2,b3416
MLTP1,b3417
HEPT2,b3620
HXAND,b2867 and b2866 and b2868
MOAT3C,b3624
RHAT1,b3629
GALT1,b3628
GLCTR2,b3627
UDPGPpp,b0480
PPPGO,b3850
ADNK1,b0474
HEPK1,b3630
HEPT3,b3632
HEPK2,b3625
ALDD3y,b4269 or b3588 or b3011
R5PP,b2293 or b2690 or b0822 or b0675 or b3697
CYSSADS,b2810 or b1680
CPPPGO2,b3867
AGM3PH,b1107
LDH_D2,b2133
SHCHF,b3368
SUCBZL,b2260
CYSDDS,b1919
NTP10,b4161 or b4394
PRAIS,b2499
GDMANE,b2052
GPDDA4,b3449
LPLIPAL2E140,b3825
LPLIPAL2E180,b3825
LPLIPAL2G161,b3825
LPLIPAL2G181,b3825
AACPS6,b1094 and b2836
AACPS7,b1094 and b2836
QMO2,b3029
QMO3,b3029
LPLIPAL2E141,b3825
LPLIPAL2E161,b3825
LPLIPAL2E181,b3825
LPLIPAL2G180,b3825
LPLIPAL2G141,b3825
IPDDI,b2889
2AGPGAT180,b2836
2AGPGAT181,b2836
LPLIPAL2ATG120,b3825
PLIPA1E140pp,b3821
PLIPA1E160pp,b3821
PLIPA1E161pp,b3821
AACPS8,b1094 and b2836
AACPS9,b1094 and b2836
HXCT,b2222 and b2221
2AGPEAT160,b2836
DURADx,b2147 and b2146
ECOAH7,b2341 or b3846
G1PPpp,b1002 or b0383
GALCTND,b4478
GCALDD,b1415
HISTP,b2022
LDH_D,b1380
AMALT4,b3416
NTD11,b2744 or b3399
ORNDC,b2965 or b0693
UPP3MT,b3368
KAS15,b1091
FACOAL181t2pp,b1805 or b1701
T2DECAI,b0954
3OAS161,b2323
EAR141y,b1288
EAR161x,b1288
DASYN160,b0175
DASYN161,b0175
DASYN181,b0175
CDAPPA161,b3918
PGSA180,b1912
PSSA140,b2585
2AGPGAT141,b2836
FACOAE180,b0452
FACOAE100,b0452
FACOAE80,b0452
FACOAE60,b0452
PLIPA1E120pp,b3821
3OAS141,b2323
3OAR121,b1093
CFAS160G,b1661
FACOAE141,b0452
FACOAE161,b0452
ALAALAD,b1488
2AGPEAT180,b2836
2AGPEAT181,b2836
2AGPGAT140,b2836
PLIPA1E181pp,b3821
PLIPA1G180pp,b3821
PLIPA1G181pp,b3821
2AGPGAT161,b2836
AMPTASEPG,b4260 or b2523 or b0932 or b0237
2AGPEAT140,b2836
2AGPEAT120,b2836
2AGPEAT161,b2836
2AGPEAT141,b2836
2AGPGAT160,b2836
LPLIPAL2ATG140,b3825
LPLIPAL2ATG141,b3825
LPLIPAL2ATG160,b3825
LPLIPAL2ATG180,b3825
LPLIPAL2ATG161,b3825
LPLIPAL2ATG181,b3825
CLPNS180pp,b1249 or b0789
CLPNS181pp,b1249 or b0789
PLIPA1G120pp,b3821
CLPNS120pp,b0789 or b1249
ALPATE160pp,b1677 and b0657
ALPATG160pp,b1677 and b0657
2AGPGAT120,b2836
LPLIPAL2ATE120,b3825
LPLIPAL2ATE140,b3825
LPLIPAL2ATE160,b3825
LPLIPAL2ATE180,b3825
LPLIPAL2ATE141,b3825
LPLIPAL2ATE161,b3825
LPLIPAL2ATE181,b3825
